Key,Français,Breton,English,German,Portuguese,Italian,Spanish
GARDIENNE_ACT_1_DIALOGUE_1_4,Je suis ici pour te parler de ta mémoire. Pour être plus précise[V] je veux te parler des possibilités qui s’offriront à toi et leurs conséquences.,Amañ emaon evit komz deoc'h eus ho eñvor. Evit bezañ resisoc'h[V] e fell din komz deoc'h diwar-benn ar c'hementadoù a c'hallo bezañ deoc'h hag o heuliadoù.,I'm here to talk to you about your memory. To be more precise[V] I want to talk to you about the possibilities that will be available to you and their consequences.,Ich bin hier[V] um mit Ihnen über Ihr Gedächtnis zu sprechen. Genauer gesagt[V] möchte ich mit Ihnen über die Möglichkeiten sprechen[V] die Ihnen zur Verfügung stehen[V] und deren Konsequenzen.,Estou aqui para falar com você sobre sua memória. Para ser mais preciso[V][V] quero falar com você sobre as possibilidades que estarão disponíveis para você e suas consequências.,Sono qui per parlarti della tua memoria. Per essere più precisi[V] Voglio parlarti delle possibilità che ti si presenteranno e delle loro conseguenze.,Estoy aquí para hablarte sobre tu memoria. Para ser más preciso[V] quiero hablarte de las posibilidades que estarán disponibles para ti y sus consecuencias.
GARDIENNE_ACT_1_DIALOGUE_1_5,Sur ta route[V] tu trouveras des cristaux comme celui-ci. Ils ont le pouvoir de te rendre tes souvenirs[V] avec celà l’usage de la langue parlée.,War ho hent e kavot kristalioù evel an hini-mañ. Ar galloud o deus da adtapout ho eñvorennoù[V] asambles gant implij ar yezh komzet.,On your way[V] you will find crystals like this one. They have the power to give you back your memories[V] with the use of spoken language.,Auf deinem Weg[V] wirst du Kristalle wie diesen finden. Sie haben die Macht[V] Ihnen durch den Einsatz gesprochener Sprache Ihre Erinnerungen zurückzugeben.,No seu caminho[V] você encontrará cristais como este. Eles têm o poder de devolver suas memórias[V] com o uso da linguagem falada.,Sulla tua strada[V] troverai cristalli come questo. Hanno il potere di restituirti i tuoi ricordi[V] con l'uso della lingua parlata.,En tu camino[V] encontrarás cristales como este. Tienen el poder de devolverte tus recuerdos[V] con el uso del lenguaje hablado.
GARDIENNE_ACT_1_DIALOGUE_1_6,Cependant cela vient avec un prix; Tous tes souvenirs ne sont pas forcément des plus bons.,Koulskoude e teu ur priz gant se ; N'eo ket an holl eñvorennoù a zo ar re wellañ dre ret.,However this comes with a price; Not all your memories are necessarily the best.,Allerdings ist dies mit einem Preis verbunden. Nicht alle Ihre Erinnerungen sind unbedingt die besten.,No entanto[V] isso tem um preço; Nem todas as suas memórias são necessariamente as melhores.,Tuttavia questo ha un prezzo; Non tutti i tuoi ricordi sono necessariamente i migliori.,Sin embargo[V] esto tiene un precio; No todos tus recuerdos son necesariamente los mejores.
GARDIENNE_ACT_1_DIALOGUE_1_7,Si tout de fois tu ne te sens pas concerné par le passé[V] tu as aussi la possibilité de complètement ignorer ces cristaux et passer ton chemin ou bien les repousser.,Ma ne vezit ket nec'het gant an amzer dremenet[V] e c'hallit ivez leuskel a-gostez ar c'hristalennoù-se penn-da-benn ha mont war-raok pe kas anezho kuit.,If you still don't feel concerned about the past[V] you also have the option of completely ignoring these crystals and moving on or pushing them away.,Wenn Sie sich immer noch nicht um die Vergangenheit kümmern[V][V] haben Sie auch die Möglichkeit[V] diese Kristalle völlig zu ignorieren und weiterzumachen oder sie zu verdrängen.,Se você ainda não se preocupa com o passado[V][V] você também tem a opção de ignorar completamente esses cristais e seguir em frente ou afastá-los.,Se ancora non ti senti preoccupato per il passato[V] hai anche la possibilità di ignorare completamente questi cristalli e andare avanti o allontanarli.,Si todavía no te preocupas por el pasado[V][V] también tienes la opción de ignorar por completo estos cristales y seguir adelante o alejarlos.
GARDIENNE_ACT_1_DIALOGUE_1_8,Bien évidemment tu ne retrouvera pas l’usage de la langue[V] mais tu pourras repartir de zéro. Le choix t’appartient complètement.,Anat eo ne vo ket adkavet implij ar yezh ganeoc'h[V] met dont a reot a-benn da grogiñ adalek ar penn-kentañ. Deoc'h penn-da-benn eo an dibab.,Obviously you will not regain the use of the language[V] but you will be able to start from scratch. The choice is completely yours.,Natürlich werden Sie die Verwendung der Sprache[V] nicht wiedererlangen[V] aber Sie werden in der Lage sein[V] bei Null anzufangen. Die Wahl liegt ganz bei Ihnen.,Obviamente você não recuperará o uso da linguagem[V][V] mas poderá começar do zero. A escolha é totalmente sua.,Ovviamente non riacquisterai l'uso della lingua[V] ma potrai ripartire da zero. La scelta è completamente tua.,Evidentemente no recuperarás el uso del idioma[V] pero podrás empezar de cero. La elección es completamente tuya.
GARDIENNE_ACT_1_DIALOGUE_1_9,Voici une de ses pierres. Vas-y essaie de la toucher.,Setu unan eus e vein. Kit war-raok ha klaskit touchout outi.,Here is one of his stones. Go ahead and try to touch her.,Hier ist einer seiner Steine. Versuchen Sie[V] sie zu berühren.,Aqui está uma de suas pedras. Vá em frente e tente tocá-la.,Ecco una delle sue pietre. Vai avanti e prova a toccarla.,Aquí está una de sus piedras. Adelante[V] intenta tocarla.
GARDIENNE_ACT_1_DIALOGUE_1_10,Ainsi tu as fait ton choix[V] celui qui te semble être le bon.,Neuze hoc'h eus graet ho tibab[V] an hini a seblant mat deoc'h.,So you have made your choice[V] the one that seems to you to be the right one.,Sie haben also die Wahl[V] getroffen[V] die Ihnen richtig erscheint.,Então você fez a sua escolha[V] aquela que lhe parece ser a certa.,Quindi hai fatto la tua scelta[V] quella che ti sembra quella giusta.,Así que has elegido[V] el que te parece correcto.
GARDIENNE_ACT_1_DIALOGUE_1_11,Puisse la chance et le bonheur accompagner ta quête d’introspection.,Ra vo ar chañs hag an eürusted gant ho klask en em evezhiañ.,May luck and happiness accompany your quest for introspection.,Mögen Glück und Glück Ihr Streben nach Selbstbeobachtung begleiten.,Que a sorte e a felicidade acompanhem sua busca pela introspecção.,Possano fortuna e felicità accompagnare la tua ricerca di introspezione.,Que la suerte y la felicidad acompañen tu búsqueda de introspección.
DRUSTAN_NAME,[#99bf9c]Drustan[/#],[#99bf9c]Drustan[/#],[#99bf9c]Drustan[/#],[#99bf9c]Drustan[/#],[#99bf9c]Drustano[/#],[#99bf9c]Drustan[/#],[#99bf9c]Drustán[/#]
DRUSTAN_DIALOGUE_0_1,...,...,...,...,...,...,...
DRUSTAN_ACT_1_DIALOGUE_1_1,[f]Bonjour brebis égarée[V] que fais-tu ici ?,[f]Demat deñved kollet[V] petra emaout oc'h ober amañ ?,[f]Hello lost sheep[V] what are you doing here?,[f]Hallo verlorenes Schaf[V] was machst du hier?,[f]Olá ovelha perdida[V] o que você está fazendo aqui?,[f]Ciao pecora smarrita[V] cosa fai qui?,[f]Hola oveja perdida[V] ¿Qué haces aquí?
DRUSTAN_ACT_1_DIALOGUE_1_2,[f]Tu cherches quelque chose ? Un remède ou autre chose ?,[f]Emaoc'h o klask un dra bennak ? Ur pare pe un dra bennak all ?,[f]Are you looking for something? A cure or something else?,[f]Suchen Sie etwas? Eine Heilung oder etwas anderes?,[f]Você está procurando alguma coisa? Uma cura ou algo mais?,[f]Stai cercando qualcosa? Una cura o altro?,[f]¿Estás buscando algo? ¿Una cura o algo más?
DRUSTAN_ACT_1_DIALOGUE_1_3,[f]Si tu n'es pas décidé à me répondre je voudrais bien retourner au travail.,[f]Ma n'oc'h ket divizet respont din e fellfe din distreiñ d'al labour.,[f]If you are not decided to answer me I would like to return to work.,[f]Wenn Sie sich nicht dazu entschließen[V] mir zu antworten[V] würde ich gerne zur Arbeit zurückkehren.,[f]Se você não estiver decidido a me responder[V] gostaria de voltar ao trabalho.,[f]Se non sei deciso a rispondermi vorrei tornare al lavoro.,[f]Si no estás decidido a contestarme me gustaría volver a trabajar.
DRUSTAN_ACT_1_DIALOGUE_2_1,[f]Toi ? Enfin envie de me répondre ?,[f]C'hwi ? C'hoant ho peus da respont din a-benn ar fin ?,[f]You? Finally want to answer me?,[f]Du? Möchtest du mir endlich antworten?,[f]Você? Finalmente quer me responder?,[f]Tu? Vuoi finalmente rispondermi?,[f] ¿Tú? ¿Finalmente quieres responderme?
DRUSTAN_ACT_1_DIALOGUE_2_2,[f]Ca n'a pas l'air d'être le cas.,[f]Ne seblant ket bezañ gwir.,[f]That doesn't seem to be the case.,[f]Das scheint nicht der Fall zu sein.,[f]Esse não parece ser o caso.,[f]Non sembra essere il caso.,[f]Ese no parece ser el caso.
DRUSTAN_ACT_1_DIALOGUE_2_3,[f]Je suis vraiment débordé alors laisse moi tranquille si tu n'as pas besoin de moi.,[f]Ober a ran kalz[V] neuze lezit ac'hanon da vont ma n'hoc'h eus ket ezhomm ac'hanon.,[f]I'm really overwhelmed so leave me alone if you don't need me.,[f]Ich bin wirklich überfordert[V] also lass mich in Ruhe[V] wenn du mich nicht brauchst.,[f]Estou realmente sobrecarregado[V] então me deixe em paz se não precisar de mim.,[f]Sono davvero sopraffatto[V] quindi lasciami in pace se non hai bisogno di me.,[f] Estoy realmente abrumado[V] así que déjame en paz si no me necesitas.
ELOUAN_NAME,[#c9a951]Elouan[/#],[#c9a951]Elouan[/#],[#c9a951]Elouan[/#],[#c9a951]Elouan[/#],[#c9a951]Elouan[/#],[#c9a951]Elouan[/#],[#c9a951]Elouan[/#]
ELOUAN_DIALOGUE_0_1,...,...,...,...,...,...,...
ELOUAN_ACT_1_DIALOGUE_1_1,[f]Oui ? … Bonjour ? …,[f]Ya ? … Demat ? …,[f]Yes? … Good morning ? …,[f]Ja? … Guten Morgen ? …,[f]Sim? … Bom dia ? …,[f]Sì? … Buongiorno ? …,[f] ¿Sí? … Buen día ? …
ELOUAN_ACT_1_DIALOGUE_1_2,[f]Je peux vous aidez ?,[f]Ha gallout a ran sikour ac'hanoc'h ?,[f]Can I help you?,[f]Kann ich Ihnen helfen?,[f]Posso te ajudar?,[f]Posso aiutarti?,[f] ¿Puedo ayudarte?
ELOUAN_ACT_1_DIALOGUE_1_3,[f]Pas très bavard[V] à ce que je vois…,[f]N'eo ket gwall gaozeal[V] gwelet a ran...,[f]Not very talkative[V] from what I see…,[f]Nicht sehr gesprächig[V] soweit ich das sehe…,[f]Não é muito falador[V] pelo que vejo…,[f]Non molto loquace[V] da quello che vedo...,[f]No es muy hablador[V] por lo que veo…
ELOUAN_ACT_1_DIALOGUE_1_4,[f]Difficile de parler à quelqu'un qui ne m'adresse même pas la parole…,[f]Diaes eo komz gant unan bennak ha ne gomz ket ouzhin zoken...,[f]Difficult to talk to someone who doesn't even speak to me...,[f]Es ist schwierig[V] mit jemandem zu sprechen[V] der nicht einmal mit mir spricht ...,[f]É difícil falar com alguém que nem fala comigo...,[f]Difficile parlare con qualcuno che non parla nemmeno con me...,[f]Es difícil hablar con alguien que ni siquiera me habla...
ELOUAN_ACT_1_DIALOGUE_2_1,[f]Si vous restez c’est que vous avez quelque chose à me demander j’imagine ?,[f]Ma chomit[V] eo peogwir hoc'h eus un dra bennak da c'houlenn diganin[V] war a seblant?,[f]If you stay it’s because you have something to ask me I guess?,[f]Wenn du bleibst[V] liegt es wohl daran[V] dass du mich etwas fragen möchtest?,[f]Se você ficar é porque tem algo para me perguntar[V] eu acho?,[f]Se rimani è perché hai qualcosa da chiedermi[V] immagino?,[f]Si te quedas es porque tienes algo que preguntarme[V] ¿supongo?
ELOUAN_ACT_1_DIALOGUE_2_2,[f]Oubliez …,[f]Disoñjal …,[f]Forget…,[f]Vergiss…,[f] Esqueça…,[f]Dimentica...,[f]Olvida…
ELOUAN_ACT_1_DIALOGUE_3_1,[f]Je ne sais pas ce qui vous a poussé à venir ici[V] en tout bien tout honneur[V] mais je trouve cela étrange.,[f]N'ouzon ket petra en deus lakaet ac'hanout da zont amañ[V] en holl onestiz[V] met kavout a ran iskis.,[f]I don't know what made you come here[V] in all honor[V] but I find it strange.,[f]Ich weiß nicht[V] warum du hierher gekommen bist[V] in aller Ehre[V][V] aber ich finde es seltsam.,[f]Não sei o que fez você vir aqui[V] com toda a honra[V][V] mas acho estranho.,[f]Non so cosa ti abbia fatto venire qui[V] con tutti gli onori[V] ma lo trovo strano.,[f]No sé qué te hizo venir aquí[V] con todo honor[V] pero me resulta extraño.
ELOUAN_ACT_1_DIALOGUE_3_2,[f]En plus de cela[V] à vous parler[V] vous n'avez pas l'air de vouloir répondre à la moindre de mes questions.,[f]Ouzhpenn-se[V] o komz ouzhit[V] ne seblant ket bezañ c'hoant da respont da hini ebet eus ma goulennoù.,[f]On top of that[V] talking to you[V] you don't seem to want to answer any of my questions.,[f]Darüber hinaus[V] scheinst du im Gespräch mit dir keine meiner Fragen beantworten zu wollen.,[f]Além disso[V] falando com você[V] você não parece querer responder nenhuma das minhas perguntas.,[f]Oltre a ciò[V] parlando con te[V] sembra che tu non voglia rispondere a nessuna delle mie domande.,[f]Además de eso[V] hablando contigo[V] parece que no quieres responder ninguna de mis preguntas.
IAZDA_NAME,[#b8703c]Iazda[/#],[#b8703c]Iazda[/#],[#b8703c]Iazda[/#],[#b8703c]Iazda[/#],[#b8703c]Iazda[/#],[#b8703c]Iazda[/#],[#b8703c]Iazda[/#]
IAZDA_ACT_1_DIALOGUE_1_1,[f]Bonjour jeune homme.,[f]Demat paotr yaouank.,[f]Hello young man.,[f]Hallo junger Mann.,[f] Olá[V] jovem.,[f]Ciao giovanotto.,[f] Hola joven.
IAZDA_ACT_1_DIALOGUE_1_2,[f]Votre visage ne m'est pas familier ... [n]Tu viens d'arriver ici si je me trompe.,[f]Dianav eo ho dremm din... [n]Nevez zo oc'h erruet amañ ma fazian.,[f]Your face is unfamiliar to me... [n]You just arrived here if I'm wrong.,[f]Dein Gesicht ist mir unbekannt... [n]Du bist gerade erst hier angekommen[V] falls ich falsch liege.,[f]Seu rosto não é familiar para mim... [n]Você acabou de chegar aqui se eu estiver errado.,[f]Il tuo viso non mi è familiare... [n]Sei appena arrivato qui se sbaglio.,[f]Tu cara no me resulta familiar... [n]Acabas de llegar aquí si me equivoco.
IAZDA_ACT_1_DIALOGUE_1_3,hmm ...,hmm ...,Hmm ...,Hmm ...,Hum ...,Hmm ...,Mmm ...
IAZDA_ACT_1_DIALOGUE_1_4,[f]Tu n'as pas l'air très bavard. J'ai connu quelqu'un comme ça fut un temps.,[f]Ne seblant ket bezañ gwall gaozeal. Anavezout a raen unan bennak evel-se gwechall.,[f]You don't seem very talkative. I knew someone like that once.,[f]Du scheinst nicht sehr gesprächig zu sein. Ich kannte einmal so jemanden.,[f]Você não parece muito falador. Eu conheci alguém assim uma vez.,[f]Non sembri molto loquace. Conoscevo qualcuno così una volta.,[f] No pareces muy hablador. Conocí a alguien así una vez.
IAZDA_ACT_1_DIALOGUE_1_5,[f]N'hésite pas à revenir si tu te décides à parler.,[f]Na zisoñjit ket dont en-dro ma tivizit komz.,[f]Don't hesitate to come back if you decide to talk.,[f]Zögern Sie nicht[V] wiederzukommen[V] wenn Sie sich für ein Gespräch entscheiden.,[f]Não hesite em voltar se decidir conversar.,[f]Non esitare a tornare se decidi di parlare.,[f]No dudes en volver si decides hablar.
IAZDA_ACT_1_DIALOGUE_2_1,[f]Salut toi ! Enfin un peu envie de discuter ?,[f]Demat deoc'h ! C'hoant da flapañ a-benn ar fin ?,[f]Hello you! Finally want to chat?,[f]Hallo! Endlich Lust auf einen Chat?,[f]Olá você! Finalmente quer conversar?,[f]Ciao a te! Vuoi finalmente chiacchierare?,[f] ¡Hola a ti! ¿Finalmente quieres charlar?
IAZDA_ACT_1_DIALOGUE_2_2,[f]Vraiment pas bavard à ce que je vois.,[f]N'eo ket gwall gomzer diouzh ar pezh a welan.,[f]Really not talkative from what I see.,[f]Soweit ich das sehe[V] ist er wirklich nicht gesprächig.,[f]Realmente não sou falador pelo que vejo.,[f]Da quello che vedo[V] non sono proprio loquace.,[f] Realmente no soy hablador por lo que veo.
IAZDA_ACT_1_DIALOGUE_2_3,[f]Je ne suis pas non plus très bon pour faire la discussion.,[f]N'on ket gwall varrek da sevel kaozeadennoù kennebeut.,[f]I'm not very good at making discussions either.,[f]Ich bin auch nicht besonders gut darin[V] Diskussionen zu führen.,[f]Também não sou muito bom em fazer discussões.,[f]Neanche io sono molto bravo a fare discussioni.,[f] Tampoco soy muy bueno entablar discusiones.
IAZDA_ACT_1_DIALOGUE_2_4,[f]Si tu te terre dans ton silence[V] je ne vais rien pouvoir faire pour toi.,[f]Mar chomit mut[V] ne c'hellin ket ober netra evidoc'h.,[f]If you hide in your silence[V] I won't be able to do anything for you.,[f]Wenn du dich in deinem Schweigen versteckst[V]kann ich nichts für dich tun.,[f]Se você se esconder em seu silêncio[V] não poderei fazer nada por você.,[f]Se ti nascondi nel tuo silenzio[V] Non potrò fare nulla per te.,[f]Si te escondes en tu silencio[V]No podré hacer nada por ti.
IAZDA_ACT_1_DIALOGUE_3_1,[f]Toi ?! Désolé[V] tu m'as surpris[V] j'étais perdu dans mes pensées.,[f]C'hwi ?! Digarezit[V] souezhet hoc'h eus ac'hanon[V] kollet e oan em soñjoù.,[f]You?! Sorry[V] you surprised me[V] I was lost in my thoughts.,[f]Du?! Tut mir leid[V] du hast mich überrascht[V] Ich war in meinen Gedanken verloren.,[f]Você?! Desculpe[V] você me surpreendeu[V] Eu estava perdido em meus pensamentos.,[f]Tu?! Scusa[V] mi hai sorpreso[V] Ero perso nei miei pensieri.,[f] ¡¿Tú?! Lo siento[V] me sorprendiste[V] Estaba perdido en mis pensamientos.
IAZDA_ACT_1_DIALOGUE_3_2,[f]J'imagine que tu ne veux toujours pas parler.,[f]Soñjal a ran n'hoc'h eus ket c'hoant da gomz c'hoazh.,[f]I guess you still don't want to talk.,[f]Ich schätze[V] du willst immer noch nicht reden.,[f]Acho que você ainda não quer conversar.,[f]Immagino che tu non voglia ancora parlare.,[f]Supongo que todavía no quieres hablar.
IAZDA_ACT_1_DIALOGUE_3_3,[f]Malheureusement je ne peux rien pour toi ...[n][%50]à part espérer que tu ne finisses pas comme lui ...,[f]Siwazh ne c'hellan ober netra evidoc'h...[n][%50]nemet esperout ne zeufec'h ket eveltañ...,[f]Unfortunately I can't do anything for you...[n][%50]except hope that you don't end up like him...,[f]Leider kann ich nichts für dich tun...[n][%50]außer hoffen[V] dass es dir nicht so ergeht wie ihm...,[f]Infelizmente não posso fazer nada por você...[n][%50]exceto esperar que você não acabe como ele...,[f]Purtroppo non posso fare niente per te...[n][%50]eccetto sperare che tu non diventi come lui...,[f]Desafortunadamente no puedo hacer nada por ti...[n][%50]excepto esperar que no termines como él...
MILLIE_NAME,[#ffd64f]Millie[/#],[#ffd64f]Millie[/#],[#ffd64f]Millie[/#],[#ffd64f]Millie[/#],[#ffd64f]Millie[/#],[#ffd64f]Millie[/#],[#ffd64f]Millie[/#]
MILLIE_ACT_1_DIALOGUE_1_1,[f]Qu’est-ce que c’est que tout ce raffut ? Tiens[V] qui est cette personne ?,[f]Petra eo an holl reuz-se ? Hey[V] piv eo an den-se ?,[f]What is all this fuss about? Hey[V] who is this person?,[f]Worum geht es bei dieser ganzen Aufregung? Hey[V] wer ist diese Person?,[f]Por que toda essa confusão? Ei [V][V] quem é essa pessoa?,[f]Che cos'è tutto questo trambusto? Ehi[V] chi è questa persona?,[f] ¿A qué se debe todo este alboroto? Oye[V] ¿quién es esta persona?
MILLIE_ACT_1_DIALOGUE_1_2,Hmmm[f] ? Bonjour[V] enchantée[V] je m’appelle [MILLIE_NAME][V] et vous ?,Hmmm[f]? Demat[V] plijus on da anavezout ac'hanoc'h[V] [MILLIE_NAME] eo ma anv[V] ha c'hwi ?,Hmmm[f]? Hello[V] nice to meet you[V] my name is [MILLIE_NAME][V] and you?,Hmmm[f]? Hallo[V] schön dich kennenzulernen[V] mein Name ist [MILLIE_NAME][V] und du?,Humm[f]? Olá[V] prazer em conhecê-lo[V] meu nome é [MILLIE_NAME][V] e você?,Hmm[f]? Ciao[V] piacere di conoscerti[V] mi chiamo [MILLIE_NAME][V] e tu?,Mmmm[f]? Hola[V] encantado de conocerte[V] mi nombre es [MILLIE_NAME][V] ¿y tú?
MILLIE_ACT_1_DIALOGUE_1_3,[f]En effet[V] il ne répond pas. Peut-être est-il sourd ?,[f]E gwirionez[V] ne respont ket. Marteze eo bouzar ?,[f]Indeed[V] he does not respond. Maybe he is deaf?,[f]Tatsächlich[V] antwortet er nicht. Vielleicht ist er taub?,[f]Na verdade[V] ele não responde. Talvez ele seja surdo?,[f]Infatti[V] non risponde. Forse è sordo?,[f]Efectivamente[V] no responde. ¿Quizás sea sordo?
MILLIE_ACT_1_DIALOGUE_1_4,[f]Mais nous avons des procédures pour les voyageurs armés[V] et nous ne pouvons tout de même pas le virer simplement car il ne nous comprend pas.,[f]Met argerzhioù hon eus evit ar veajourien armet[V] ha n'hallomp ket e gas kuit hepken peogwir ne gompren ket ac'hanomp.,[f]But we have procedures for armed travelers[V] and we can't just fire him because he doesn't understand us.,[f]Aber wir haben Verfahren für bewaffnete Reisende[V] und wir können ihn nicht einfach entlassen[V] weil er uns nicht versteht.,[f]Mas temos procedimentos para viajantes armados[V] e não podemos simplesmente demiti-lo porque ele não nos entende.,[f]Ma abbiamo procedure per i viaggiatori armati[V] e non possiamo semplicemente licenziarlo perché non ci capisce.,[f]Pero tenemos procedimientos para viajeros armados[V] y no podemos simplemente despedirlo porque no nos entiende.
MILLIE_ACT_1_DIALOGUE_1_5,[f]Il n’a rien d’autre qu’une épée qu’on confisquerait dans l’enceinte du village. Ni argent[V] ni nourriture[V] comment pourrait-il être dangereux ?,[f]N'en deus netra all nemet ur c'hleze a vefe kemeret e-barzh mogerioù ar gêriadenn. Arc’hant ebet[V] boued ebet[V] penaos e c’hellfe bezañ dañjerus ?,[f]He has nothing other than a sword that would be confiscated within the village walls. Neither money[V] nor food[V] how could it be dangerous?,[f]Er hat nichts anderes als ein Schwert[V] das innerhalb der Dorfmauern beschlagnahmt würde. Weder Geld[V] noch Essen[V] wie könnte es gefährlich sein?,[f]Ele não tem nada além de uma espada que seria confiscada dentro dos muros da aldeia. Nem dinheiro[V] nem comida[V] como poderia ser perigoso?,[f]Non ha altro che una spada che verrebbe confiscata entro le mura del villaggio. Né denaro[V] né cibo[V] come potrebbe essere pericoloso?,[f]No tiene nada más que una espada que sería confiscada dentro de los muros del pueblo. Ni dinero[V] ni comida[V] ¿cómo podría ser peligroso?
